1001,ANSON,SECURITY,25,20350,11192,7122,3052,41716,1018,2035,38663
1002,KHALIL,SALES REPRESENTATIVE,26,67392,37066,23587,10109,138154,3370,6739,128045
1003,JAXX,EXECUTIVE ASSISTANT,23,59616,32789,20866,8942,122213,2981,5962,113270
1004,BOWEN,EXECUTIVE ASSISTANT,25,64800,35640,22680,9720,132840,3240,6480,123120
1005,HUGH,CEO,25,231475,127311,81016,34721,474523,11574,23148,439801
1006,JEDIDIAH,SECRETARY,25,83325,45829,29164,12499,170817,4166,8332,158319
1007,HELENA,MARKETING MANAGER,26,67392,37066,23587,10109,138154,3370,6739,128045
1008,ADALINE,CTO,23,149063,81985,52172,22359,305579,7453,14906,283220
1009,IAN,BUSINESS ANALYST,20,50740,27907,17759,7611,104017,2537,5074,96406
1010,KAMARI,ADMINISTRATIVE ASSISTANT,24,57768,31772,20219,8665,118424,2888,5777,109759
1011,ENSLEY,PROJECT MANAGER,23,55361,30449,19376,8304,113490,2768,5536,105186
1012,BLAKELY,PRESIDENT,25,185175,101846,64811,27776,379608,9259,18518,351831
1013,ZAINAB,CEO,25,231475,127311,81016,34721,474523,11574,23148,439801
1014,NINA,CUSTOMER SERVICE REPRESENTATIVE,19,38703,21287,13546,5805,79341,1935,3870,73536
1015,OSCAR,SECRETARY,25,83325,45829,29164,12499,170817,4166,8332,158319
1016,ROYAL,SALES REPRESENTATIVE,24,62208,34214,21773,9331,127526,3110,6221,118195
1017,BRUCE,VICE PRESIDENT,26,144430,79436,50550,21664,296080,7222,14443,274415
1018,JAD,HUMAN RESOURCE MANAGER,27,67500,37125,23625,10125,138375,3375,6750,128250
1019,ALAYNA,HUMAN RESOURCE MANAGER,21,52500,28875,18375,7875,107625,2625,5250,99750
1020,CAMILO,PRODUCT MANAGER,22,6512,3582,2279,977,13350,326,651,12373
1021,ARIANA,CEO,24,222216,122219,77776,33332,455543,11111,22222,422210
1022,KARINA,HUMAN RESOURCE PERSONNEL,23,63871,35129,22355,9581,130936,3194,6387,121355
1023,ANDRE,COO,26,216658,119162,75830,32499,444149,10833,21666,411650
1024,AUTUMN,CMO,27,189999,104499,66500,28500,389498,9500,19000,360998
1025,GISELLE,SECURITY,24,19536,10745,6838,2930,40049,977,1954,37118
1026,TERRY,ACCOUNTANT,26,62582,34420,21904,9387,128293,3129,6258,118906
1027,ELIANA,SALES REPRESENTATIVE,27,69984,38491,24494,10498,143467,3499,6998,132970
1028,BRADY,FINANCE MANAGER,20,92580,50919,32403,13887,189789,4629,9258,175902
1029,JULIETTE,SECURITY,22,17908,9849,6268,2686,36711,895,1791,34025
1030,KYRO,SECRETARY,23,76659,42162,26831,11499,157151,3833,7666,145652
